Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C,22,TOR,63,27,23.7,3.6,8.1,.439,0.6,1.8,.351,2.9,6.3,.465,.479,1.0,1.7,.587,2.2,4.7,6.9,1.1,0.5,0.5,1.2,2.1,8.8
2,Steven Adams\adamsst01,C,28,MEM,68,67,26.5,2.8,5.1,.551,0.0,0.0,.000,2.8,5.1,.553,.551,1.5,2.7,.543,4.6,5.3,9.9,3.2,0.8,0.8,1.6,1.9,7.1
3,Bam Adebayo\adebaba01,C,24,MIA,47,47,32.9,7.3,13.3,.547,0.0,0.1,.000,7.3,13.2,.551,.547,4.4,5.9,.757,2.4,7.8,10.3,3.5,1.5,0.8,2.7,3.1,19.0
4,Santi Aldama\aldamsa01,PF,21,MEM,27,0,10.3,1.4,3.6,.381,0.1,1.4,.103,1.2,2.1,.569,.402,0.4,0.7,.600,0.9,1.5,2.4,0.5,0.1,0.3,0.3,1.0,3.3
5,LaMarcus Aldridge\aldrila01,C,36,BRK,45,12,22.8,5.6,10.1,.554,0.3,1.0,.311,5.3,9.1,.580,.569,2.0,2.3,.873,1.6,4.0,5.6,0.9,0.3,1.0,0.9,1.6,13.5
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,60,21,23.8,4.1,11.1,.371,1.7,5.5,.307,2.5,5.7,.434,.447,1.3,1.8,.741,0.6,2.5,3.1,2.5,0.7,0.4,1.5,1.7,11.3
7,Nickeil Alexander-Walker\alexani01,SG,23,NOP,50,19,26.3,4.7,12.6,.375,1.9,6.1,.311,2.8,6.5,.434,.450,1.4,1.9,.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8
8,Nickeil Alexander-Walker\alexani01,SG,23,UTA,10,2,11.3,1.1,3.6,.306,0.6,2.4,.250,0.5,1.2,.417,.389,1.0,1.1,.909,0.1,1.9,2.0,1.2,0.3,0.3,0.6,1.2,3.8
9,Grayson Allen\allengr01,SG,26,MIL,60,59,27.4,3.9,8.9,.438,2.5,6.1,.403,1.4,2.8,.515,.576,0.9,1.1,.862,0.5,2.9,3.4,1.6,0.7,0.3,0.6,1.5,11.2
10,Jarrett Allen\allenja01,C,23,CLE,56,56,32.3,6.6,9.7,.677,0.0,0.2,.100,6.6,9.6,.688,.678,2.9,4.2,.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1
11,Jose Alvarado\alvarjo01,PG,23,NOP,44,1,14.7,2.2,5.1,.424,0.6,2.0,.303,1.5,3.1,.504,.484,0.6,0.9,.718,0.5,1.3,1.8,2.6,1.3,0.1,0.7,1.5,5.6
12,Justin Anderson\anderju01,SF,28,TOT,8,1,15.4,1.6,4.1,.394,0.8,2.9,.261,0.9,1.3,.700,.485,1.1,1.3,.900,0.4,1.6,2.0,1.6,0.4,0.1,0.6,1.4,5.1
13,Justin Anderson\anderju01,SF,28,CLE,3,0,15.7,1.3,2.7,.500,0.7,2.0,.333,0.7,0.7,1.000,.625,1.0,1.3,.750,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
14,Justin Anderson\anderju01,SF,28,IND,5,1,15.2,1.8,5.0,.360,0.8,3.4,.235,1.0,1.6,.625,.440,1.2,1.2,1.000,0.6,1.4,2.0,1.4,0.4,0.2,0.6,1.4,5.6
15,Kyle Anderson\anderky01,PF,28,MEM,59,8,21.4,2.9,6.7,.436,0.5,1.6,.315,2.4,5.2,.472,.472,0.9,1.5,.607,1.1,4.4,5.4,2.6,1.1,0.6,1.0,1.5,7.3
16,Giannis Antetokounmpo\antetgi01,PF,27,MIL,60,60,32.8,10.2,18.5,.550,1.1,3.7,.302,9.0,14.8,.612,.580,8.3,11.5,.721,2.0,9.7,11.6,5.8,1.1,1.4,3.3,3.3,29.7
17,Thanasis Antetokounmpo\antetth01,SF,29,MIL,43,5,9.1,1.2,2.3,.515,0.0,0.3,.091,1.2,2.0,.568,.520,0.4,0.7,.594,0.9,1.3,2.1,0.4,0.3,0.2,0.5,1.4,2.8
18,Carmelo Anthony\anthoca01,PF,37,LAL,63,3,26.3,4.6,10.4,.444,2.3,5.9,.388,2.4,4.6,.516,.552,2.0,2.4,.829,0.9,3.3,4.2,1.0,0.7,0.8,0.9,2.4,13.5
19,Cole Anthony\anthoco01,PG,21,ORL,59,59,32.5,5.7,14.5,.392,2.1,6.3,.341,3.6,8.3,.430,.466,3.4,4.0,.856,0.5,5.0,5.5,5.7,0.7,0.3,2.7,2.7,16.9
20,OG Anunoby\anunoog01,SF,24,TOR,42,42,36.7,6.6,15.1,.436,2.4,6.8,.351,4.2,8.3,.506,.515,1.9,2.5,.748,1.6,3.9,5.5,2.6,1.5,0.6,1.8,3.0,17.5
21,Ryan Arcidiacono\arcidry01,PG,27,NYK,5,0,3.2,0.4,0.6,.667,0.4,0.4,1.000,0.0,0.2,.000,1.000,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.2
22,Trevor Ariza\arizatr01,SF,36,LAL,22,10,18.9,1.3,3.7,.341,0.9,3.0,.303,0.4,0.7,.500,.463,0.4,0.7,.533,0.3,3.0,3.2,1.0,0.5,0.2,0.5,0.9,3.8
23,D.J. Augustin\augusdj01,PG,34,TOT,45,2,15.5,1.8,4.1,.437,1.3,2.9,.432,0.5,1.1,.451,.593,0.8,0.9,.872,0.2,1.0,1.2,2.0,0.3,0.0,1.1,0.6,5.6
24,D.J. Augustin\augusdj01,PG,34,HOU,34,2,15.0,1.6,4.0,.404,1.1,2.8,.406,0.5,1.2,.400,.548,1.0,1.1,.868,0.2,1.0,1.2,2.2,0.3,0.0,1.3,0.5,5.4
25,D.J. Augustin\augusdj01,PG,34,LAL,11,0,17.1,2.3,4.3,.532,1.6,3.3,.500,0.6,1.0,.636,.723,0.1,0.1,1.000,0.2,0.9,1.1,1.5,0.4,0.0,0.5,0.7,6.3
26,Deni Avdija\avdijde01,SF,21,WAS,71,6,23.4,2.7,6.4,.426,0.9,2.8,.307,1.9,3.6,.520,.493,1.3,1.7,.764,0.6,4.5,5.1,1.8,0.8,0.5,0.9,2.3,7.6
27,Joel Ayayi\ayayijo01,SG,21,WAS,7,0,2.9,0.1,0.9,.167,0.0,0.1,.000,0.1,0.7,.200,.167,0.0,0.0,,0.1,0.3,0.4,0.6,0.0,0.0,0.0,0.0,0.3
28,Deandre Ayton\aytonde01,C,23,PHO,51,51,29.3,7.5,11.6,.646,0.1,0.3,.313,7.4,11.3,.656,.651,1.8,2.5,.744,2.5,7.5,10.0,1.4,0.7,0.7,1.5,2.3,17.0
29,Udoka Azubuike\azubuud01,C,22,UTA,17,6,11.5,2.2,2.9,.755,0.0,0.0,,2.2,2.9,.755,.755,0.4,0.6,.545,1.1,3.1,4.2,0.0,0.1,0.6,0.7,1.5,4.7
30,Marvin Bagley III\baglema01,PF,22,TOT,43,22,23.3,4.5,9.1,.492,0.5,2.0,.233,4.0,7.1,.566,.518,1.2,1.9,.634,2.3,4.8,7.1,0.7,0.4,0.3,0.8,1.9,10.6
31,Marvin Bagley III\baglema01,PF,22,SAC,30,17,21.9,3.8,8.2,.463,0.5,2.1,.242,3.3,6.1,.538,.494,1.2,1.6,.745,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,9.3
32,Marvin Bagley III\baglema01,PF,22,DET,13,5,26.5,6.0,11.1,.542,0.4,1.8,.208,5.6,9.2,.608,.559,1.3,2.7,.486,2.5,4.6,7.1,1.2,0.7,0.3,1.2,2.5,13.7
33,LaMelo Ball\ballla01,PG,20,CHO,65,65,32.1,7.0,16.5,.422,2.7,7.3,.376,4.2,9.2,.458,.505,3.0,3.4,.869,1.5,5.3,6.8,7.4,1.5,0.5,3.1,3.2,19.6
34,Lonzo Ball\balllo01,PG,24,CHI,35,35,34.6,4.6,10.9,.423,3.1,7.4,.423,1.5,3.5,.423,.567,0.6,0.8,.750,1.0,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13.0
35,Mo Bamba\bambamo01,C,23,ORL,62,60,25.8,4.0,8.5,.475,1.3,3.7,.361,2.7,4.8,.564,.554,0.8,1.0,.797,2.1,5.9,8.0,1.1,0.6,1.7,1.2,2.6,10.2
36,Desmond Bane\banede01,SF,23,MEM,68,68,30.0,6.6,14.5,.455,2.9,7.0,.418,3.7,7.5,.489,.555,1.8,2.0,.899,0.6,3.9,4.5,2.7,1.2,0.4,1.5,2.6,17.9
37,Dalano Banton\bantoda01,SF,22,TOR,60,1,11.3,1.3,3.3,.402,0.2,0.9,.255,1.1,2.5,.453,.435,0.4,0.7,.595,0.6,1.4,2.0,1.6,0.5,0.2,0.9,1.1,3.3
38,Cat Barber\barbeca01,PG,27,ATL,3,0,4.3,0.0,1.3,.000,0.0,0.0,,0.0,1.3,.000,.000,0.0,1.3,.000,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.3,0.0
39,Harrison Barnes\barneha02,PF,29,SAC,68,68,33.9,5.1,10.9,.469,1.9,4.6,.408,3.2,6.3,.514,.556,4.7,5.7,.831,1.1,4.6,5.8,2.5,0.7,0.2,1.6,1.3,16.8
40,Scottie Barnes\barnesc01,PF,20,TOR,64,64,35.8,6.2,12.8,.487,0.8,2.6,.309,5.4,10.2,.532,.518,2.1,2.9,.726,2.6,5.0,7.7,3.4,1.1,0.8,1.9,2.6,15.4
41,RJ Barrett\barrerj01,SF,21,NYK,61,61,34.4,6.9,16.8,.410,2.0,5.8,.349,4.9,11.0,.442,.470,4.0,5.6,.709,0.9,5.0,5.9,2.9,0.6,0.3,2.1,2.1,19.7
42,Will Barton\bartowi01,SG,31,DEN,63,63,31.7,5.5,12.6,.434,2.1,6.0,.358,3.3,6.6,.502,.519,1.4,1.8,.798,0.6,4.2,4.8,3.8,0.8,0.5,1.8,1.6,14.5
43,Paris Bass\basspa01,SF,26,PHO,2,0,3.5,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,1.0,1.0,1.000,1.0,1.0,2.0,0.0,0.5,0.0,1.0,1.0,3.0
